64.0,103.0,128.0,132.0,385.0,386.0,468.0,642.0,787.0,1017.0,1075.0,1135.0,1167.0,1316.0,1583.0,1658.0,1823.0,1849.0,1877.0,1966.0,2006.0,2164.0,2341.0,2379.0,2467.0,2482.0,2523.0,2527.0,2562.0,2731.0,3163.0,3254.0,3506.0,3561.0,3674.0,3800.0,3852.0,3999.0,4082.0,4127.0,4157.0,4428.0,4484.0,4493.0,4540.0,4561.0,4562.0,4601.0,4676.0,102.0,312.0,653.0,1168.0,1240.0,1245.0,1293.0,1394.0,1798.0,1878.0,1960.0,2008.0,2343.0,2366.0,2509.0,3451.0,6046.0
0,4245,11195,2734,3675,2918,12386,9863,14491,801,1152,10620,6882,1783,4329,3806,10295,10765,3926,2220,11500,4122,2955,3293,10653,7468,14967,2683,9614,9530,10915,1263,1300,1284,7678,15148,5912,3546,11238,2484,9201,10575,8808,3161,12301,2460,3575,1860,3617,18398,16226,16316,10807,16731,17014,10441,16728,18856,14756,16656,16938,16686,16698,19350,19313,20309
4245,0,6808,3614,3376,2214,11292,9695,11938,5227,5422,10452,4171,5279,571,7652,8935,10597,1404,6867,10407,7871,1427,7563,10485,4758,12415,6953,8521,8471,6529,3251,3685,3813,7491,12595,1895,912,10144,2247,7841,10001,7448,1736,11241,6730,7845,2600,7887,15131,12959,13049,6177,13463,13746,6063,13461,15347,11488,13388,13670,13419,13430,15840,16045,17041
11195,6808,0,9550,9140,8200,8270,8222,6303,10459,12394,6560,2897,11081,6087,13790,4732,6520,6279,11751,6219,14106,7191,13277,6408,2774,6779,12668,4333,4283,2104,9190,8917,9577,5021,6960,5572,6676,5957,8249,3638,5814,3033,6968,7053,12412,13559,7832,13601,13126,10955,11044,11851,11459,11742,11982,11457,10037,9484,11384,11666,11415,11426,10530,14041,14311
2734,3614,9550,0,4273,3516,10005,7482,13633,3853,3762,8239,6258,1909,3706,5158,9460,8383,3302,5437,9119,5473,2331,4645,8272,6845,14109,4035,7233,7149,10613,3062,1889,3854,5297,14290,5288,2923,8857,2517,8562,8194,8169,2538,9920,3780,4927,2428,4969,18095,15924,16014,8327,16428,16711,8213,16426,27685,14453,16353,16635,16384,16395,28179,19010,20006
3675,3376,9140,4273,0,1269,14054,11948,14693,3476,3671,12705,6927,4777,3688,5597,11334,12850,4055,4812,13168,5816,2662,5953,12738,7513,15170,5202,11282,11198,9879,2450,3159,1851,9346,15351,4033,2904,12906,2696,10240,12243,9847,3615,13969,4978,6236,2899,6278,17886,11581,15804,8662,12086,16501,8296,12083,17728,9062,16144,12293,12373,12053,18221,18801,19796
2918,2214,8200,3516,1269,0,13250,10776,13606,3925,4120,11533,5839,3973,2600,6046,10530,11678,2968,5261,12364,6265,1591,6402,11566,6426,14082,5651,10479,10395,8792,1646,2355,2207,8542,14263,3752,1817,12102,1892,9436,11439,9043,2527,13138,5427,6685,2095,6727,16798,14626,14716,9772,15131,15414,9406,15129,17349,13156,15056,15338,15087,15098,17842,17713,18709
12386,11292,8270,10005,14054,13250,0,6708,6395,12944,12853,5046,7286,11541,10743,14249,4140,5006,10028,14529,2661,14565,11033,13736,4894,7873,6871,13127,3063,3259,12636,12694,11521,13485,5042,7052,11720,10926,1551,11713,4050,2914,4607,10133,4589,21282,14019,10997,14061,17473,17964,18054,18860,18469,20146,18991,18466,11485,16494,20343,18676,18424,18435,11978,16539,15758
9863,9695,8222,7482,11948,10776,6708,0,12232,10477,10401,2215,7046,9073,9205,11781,7574,2567,8491,12060,5150,12096,9376,11268,2455,8998,12709,10658,5393,4732,10203,10485,9053,11277,4871,12889,10106,9389,6947,9562,6742,4202,6350,8596,4616,9242,11550,9127,11592,17686,15514,15604,16410,16019,16301,16541,16016,18349,14044,15944,16226,15974,15985,18843,18601,19596
14491,11938,6303,13633,14693,13606,6395,12232,0,15447,15643,10615,8259,15151,11448,17860,5835,10575,11851,16739,7428,18176,12856,17347,10463,8135,899,16737,6673,7417,7388,14179,13905,14971,8653,1080,10933,12037,5620,13237,7707,7615,6302,11956,10158,26011,17629,12820,17671,14662,15468,15557,14670,15972,17334,14801,15970,6156,13997,17531,16179,15928,15939,6309,13728,12947
