x,y
53.53453969,-113.4670204
53.42680219,-113.4341983
53.48160024,-113.5860969
53.50870261,-113.5344007
53.44124686,-113.4940061
53.43317481,-113.6178792
53.40516282,-113.5323777
53.47706533,-113.4224579
53.51107684,-113.4796675
53.46971452,-113.5573051
